epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.967,0,9.01244,0,0,0,0,0,0,0,0,0.00333179,0.00333179,0.00333179
2,384.92,0,0,0,0,0,0,0,0,0,0,0.00659914,0.00659914,0.00659914
3,564.051,0,0,0,0,0,0,0,0,0,0,0.00980049,0.00980049,0.00980049
4,713.273,0,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,869.603,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,1040.76,0,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,1201.8,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,1358.74,0,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,1519.1,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,1680.53,0,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1837.47,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1997.16,0,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
