epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.45,1.5202,1.61934,1.42952,0.74695,0.55397,0.63846,0.39019,1.55894,2.59047,1.50995,0.0670152,0.000333179,0.000333179
2,775.677,1.45858,1.29385,1.36932,0.8011,0.64033,0.74379,0.46184,1.45142,1.96309,1.40528,0.0340119,0.000663213,0.000663213
3,1160.94,1.41124,1.1834,1.34064,0.84823,0.76232,0.8464,0.53473,1.37147,2.04042,1.32446,0.00100534,0.000989948,0.000989948
4,1553.35,1.36701,1.07988,1.31093,0.87673,0.82425,0.87742,0.57621,1.2815,1.69388,1.27034,0.00098515,0.00098515,0.00098515
5,1930.89,1.33252,1.01254,1.29103,0.89898,0.821,0.90638,0.59963,1.25494,1.07043,1.2435,0.0009802,0.0009802,0.0009802
6,2321.04,1.30494,0.96555,1.2696,0.9197,0.86843,0.92741,0.62586,1.21007,1.19216,1.22274,0.00097525,0.00097525,0.00097525
7,2708.4,1.28858,0.91692,1.26173,0.9377,0.88411,0.94204,0.64389,1.17272,0.8469,1.18962,0.0009703,0.0009703,0.0009703
8,2917.06,1.26957,0.8889,1.24969,0.94852,0.87882,0.94502,0.64902,1.16972,0.71625,1.1968,0.00096535,0.00096535,0.00096535
9,3106.95,1.25337,0.85681,1.23962,0.9568,0.89919,0.95818,0.66434,1.14295,0.72694,1.17853,0.0009604,0.0009604,0.0009604
10,3296.29,1.23947,0.83409,1.22943,0.96559,0.90305,0.96158,0.67694,1.11708,0.66992,1.16324,0.00095545,0.00095545,0.00095545
11,3482.67,1.22636,0.81302,1.22215,0.96118,0.91772,0.96576,0.68365,1.10508,0.62167,1.15365,0.0009505,0.0009505,0.0009505
12,3668.95,1.2132,0.79064,1.21159,0.96339,0.92179,0.96839,0.6912,1.09384,0.56044,1.14664,0.00094555,0.00094555,0.00094555
13,3855.65,1.19675,0.76956,1.20266,0.96364,0.92833,0.97039,0.69745,1.08131,0.5681,1.1386,0.0009406,0.0009406,0.0009406
