epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.07922,1.09888,2.04697,1.41334,0.76924,0.12592,0.2718,0.12034,1.97568,2.88383,2.56661,0.06766,0.000326667,0.000326667
2,10.9975,1.1083,1.47405,1.40137,0.65365,0.53416,0.57727,0.3388,1.29849,2.28423,1.78828,0.0346535,0.000653466,0.000653466
3,15.5217,1.09834,1.34529,1.40936,0.3539,0.42453,0.30575,0.14578,1.72476,2.84227,2.32892,0.00164033,0.000973665,0.000973665
4,19.7306,1.07702,1.27872,1.39181,0.63226,0.61321,0.61736,0.38064,1.39916,2.03364,1.80028,0.0009703,0.0009703,0.0009703
5,24.1791,1.0617,1.2212,1.368,0.71938,0.66038,0.67518,0.40319,1.1814,1.47339,1.56357,0.0009604,0.0009604,0.0009604
6,28.6022,1.01395,1.15442,1.34959,0.78231,0.57634,0.69423,0.47903,1.25213,1.32621,1.65433,0.0009505,0.0009505,0.0009505
7,33.1216,1.00946,1.09548,1.33766,0.80142,0.68536,0.76421,0.54511,1.03156,1.20928,1.41244,0.0009406,0.0009406,0.0009406
8,37.6167,1.0193,1.13823,1.35305,0.7389,0.66981,0.74279,0.48797,1.10683,1.20629,1.46507,0.0009307,0.0009307,0.0009307
9,42.0639,0.96776,1.04139,1.30484,0.72749,0.73585,0.70291,0.50365,1.06472,1.2397,1.48327,0.0009208,0.0009208,0.0009208
10,46.6448,1.01627,1.08636,1.34399,0.87173,0.65094,0.76692,0.52934,1.07049,1.10646,1.44808,0.0009109,0.0009109,0.0009109
11,51.1497,0.94135,1.01959,1.28443,0.80172,0.68868,0.77112,0.5576,1.03349,1.2382,1.40344,0.000901,0.000901,0.000901
12,55.6083,0.95148,0.98626,1.30068,0.69072,0.74528,0.74023,0.53146,1.28039,1.3059,1.6519,0.0008911,0.0008911,0.0008911
13,60.0617,0.92759,0.95899,1.26967,0.79886,0.71698,0.74043,0.49557,1.17274,1.35744,1.54527,0.0008812,0.0008812,0.0008812
14,64.5546,0.90349,0.9582,1.25889,0.86955,0.69174,0.79388,0.58333,1.1624,1.18674,1.56479,0.0008713,0.0008713,0.0008713
