epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87295,1.16556,2.49332,1.46849,0.44895,0.00951,0.01085,0.00694,1.55584,2.96211,1.5628,0.000653333,0.000653333,0.000653333
2,16.3713,1.58794,2.17981,1.46134,0.15567,0.01159,0.01071,0.00637,2.17157,3.21584,1.73847,0.00130693,0.00130693,0.00130693
3,23.5082,1.70125,2.02819,1.45283,0.14804,0.01096,0.00948,0.00628,1.91336,2.73791,1.80496,0.00194733,0.00194733,0.00194733
4,30.7562,1.70704,1.9112,1.44165,0.08303,0.01096,0.00878,0.00628,2.39166,3.9059,1.69004,0.0019406,0.0019406,0.0019406
5,37.9263,1.65223,1.78298,1.41273,0.20873,0.0119,0.01335,0.00734,2.20905,2.33081,1.49616,0.0019208,0.0019208,0.0019208
6,45.0877,1.67934,1.72728,1.41043,0.29444,0.01197,0.01212,0.0078,2.15064,2.045,1.44684,0.001901,0.001901,0.001901
7,52.3004,1.69364,1.72358,1.40442,0.23021,0.01219,0.01285,0.00832,2.11491,2.07505,1.37264,0.0018812,0.0018812,0.0018812
8,59.5069,1.60374,1.56379,1.33635,0.17814,0.01203,0.01255,0.00834,2.07797,2.26366,1.37314,0.0018614,0.0018614,0.0018614
9,66.5951,1.56907,1.51587,1.33171,0.30514,0.01222,0.0148,0.00942,2.03965,1.79728,1.28622,0.0018416,0.0018416,0.0018416
10,73.68,1.58802,1.51102,1.34584,0.28211,0.01234,0.01537,0.00982,2.04249,1.80624,1.29576,0.0018218,0.0018218,0.0018218
11,80.8663,1.58272,1.49946,1.35884,0.30175,0.01014,0.01168,0.00736,2.42768,2.30692,1.53965,0.001802,0.001802,0.001802
12,87.9074,1.53597,1.45653,1.32971,0.34365,0.01215,0.01675,0.00982,1.91574,1.6786,1.37078,0.0017822,0.0017822,0.0017822
13,95.0502,1.52655,1.42087,1.31744,0.32207,0.0119,0.01521,0.0101,1.95775,1.72062,1.31296,0.0017624,0.0017624,0.0017624
14,102.241,1.53731,1.42342,1.31404,0.24862,0.01127,0.01326,0.00847,2.15563,2.00129,1.38873,0.0017426,0.0017426,0.0017426
15,109.251,1.51708,1.38029,1.28461,0.25628,0.01203,0.01453,0.00882,2.03846,1.95818,1.27962,0.0017228,0.0017228,0.0017228
16,116.336,1.51152,1.40373,1.29247,0.41852,0.01241,0.01623,0.00984,2.09444,1.61186,1.37354,0.001703,0.001703,0.001703
17,123.325,1.50187,1.34782,1.29244,0.46501,0.01096,0.01558,0.00877,2.07996,1.75144,1.41507,0.0016832,0.0016832,0.0016832
18,130.517,1.54061,1.40334,1.3106,0.42191,0.01177,0.01595,0.0103,1.99685,1.65724,1.28306,0.0016634,0.0016634,0.0016634
19,137.56,1.46895,1.32516,1.25988,0.35977,0.01234,0.01618,0.00959,2.00824,1.6791,1.31586,0.0016436,0.0016436,0.0016436
20,144.613,1.48588,1.32598,1.28187,0.3397,0.01159,0.01426,0.00915,2.01568,1.76317,1.29302,0.0016238,0.0016238,0.0016238
21,151.69,1.42639,1.29184,1.25475,0.48433,0.01253,0.01785,0.01225,1.87382,1.47312,1.21405,0.001604,0.001604,0.001604
22,158.936,1.45119,1.28069,1.26023,0.4555,0.01241,0.01727,0.01187,1.90599,1.53508,1.20693,0.0015842,0.0015842,0.0015842
23,165.933,1.41195,1.25222,1.25046,0.48616,0.01171,0.01674,0.01013,1.91476,1.49559,1.24669,0.0015644,0.0015644,0.0015644
24,172.986,1.45121,1.27986,1.26631,0.49404,0.01209,0.01787,0.01169,1.85593,1.44411,1.24753,0.0015446,0.0015446,0.0015446
25,180.073,1.4238,1.23849,1.24407,0.55069,0.01241,0.01765,0.01158,1.85719,1.36645,1.22798,0.0015248,0.0015248,0.0015248
26,187.184,1.44044,1.24113,1.27752,0.50664,0.01234,0.01676,0.01064,1.86404,1.50241,1.24615,0.001505,0.001505,0.001505
27,194.25,1.44292,1.2707,1.25101,0.51554,0.01203,0.01831,0.01155,1.84636,1.45585,1.20824,0.0014852,0.0014852,0.0014852
28,201.327,1.40559,1.22047,1.24223,0.5864,0.01197,0.01734,0.01118,1.86989,1.41173,1.24201,0.0014654,0.0014654,0.0014654
29,208.414,1.42136,1.19964,1.24508,0.39425,0.0119,0.01609,0.01004,2.0442,1.60305,1.28893,0.0014456,0.0014456,0.0014456
30,215.458,1.44916,1.22831,1.25881,0.44523,0.01247,0.01833,0.01209,1.86574,1.43068,1.24288,0.0014258,0.0014258,0.0014258
31,222.488,1.39667,1.19217,1.23282,0.5838,0.01222,0.01806,0.01156,1.79534,1.39743,1.24422,0.001406,0.001406,0.001406
32,229.786,1.38381,1.19183,1.2365,0.46234,0.01222,0.01809,0.01234,1.81384,1.45732,1.2191,0.0013862,0.0013862,0.0013862
33,236.933,1.40004,1.18758,1.22157,0.45461,0.01203,0.01729,0.01164,1.82325,1.47947,1.2421,0.0013664,0.0013664,0.0013664
34,244.128,1.36903,1.17347,1.21773,0.53854,0.01215,0.0178,0.01149,1.86517,1.38548,1.23315,0.0013466,0.0013466,0.0013466
35,251.204,1.3527,1.15463,1.20413,0.65354,0.01209,0.01809,0.01212,1.85108,1.37505,1.22268,0.0013268,0.0013268,0.0013268
36,258.356,1.39614,1.17402,1.23267,0.5342,0.01228,0.01815,0.01192,1.8158,1.35965,1.21545,0.001307,0.001307,0.001307
37,265.392,1.36428,1.15677,1.21901,0.5904,0.01222,0.01805,0.01184,1.83893,1.37487,1.21066,0.0012872,0.0012872,0.0012872
38,272.504,1.29831,1.09107,1.18222,0.5654,0.01222,0.0179,0.01256,1.74882,1.31869,1.1662,0.0012674,0.0012674,0.0012674
39,279.645,1.33254,1.11662,1.20084,0.59679,0.01203,0.01824,0.01169,1.83307,1.35523,1.21666,0.0012476,0.0012476,0.0012476
