epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.4625,1.90657,2.70792,1.89951,0.00037,0.00139,0.00033,8e-05,4.36328,92.0836,44.7778,0.0706,0.00326667,0.00326667
2,17.4536,2.23245,2.51603,1.85812,0.00656,0.00762,0.0013,0.00049,3.34954,inf,63.7896,0.0405703,0.0065703,0.0065703
3,24.8369,2.2037,2.37419,1.77016,0.00067,0.00252,0.00034,0.00012,4.25142,inf,5.8007,0.0105106,0.00984393,0.00984393
4,31.9644,2.16979,2.3473,1.76671,0.05648,0.01083,0.00777,0.00368,2.79948,5.27194,2.42742,0.009865,0.009865,0.009865
5,39.2818,2.12488,2.33314,1.71912,0.05214,0.01083,0.00753,0.00521,2.56758,10.4955,1.84846,0.00982,0.00982,0.00982
6,46.5197,2.04743,2.18667,1.64272,0.10935,0.01089,0.00856,0.00528,2.43962,4.54293,1.60851,0.009775,0.009775,0.009775
7,53.6799,2.05003,2.18025,1.63827,0.09048,0.01215,0.00967,0.00598,2.30906,3.65322,1.54705,0.00973,0.00973,0.00973
8,60.8626,1.96421,2.1527,1.63162,0.08768,0.01108,0.00876,0.00584,2.16751,4.75678,1.52782,0.009685,0.009685,0.009685
9,68.1394,1.93579,2.09421,1.5708,0.13514,0.01165,0.0099,0.00617,2.29095,2.85735,1.48413,0.00964,0.00964,0.00964
10,75.3069,1.96109,2.10259,1.60483,0.11044,0.01088,0.00902,0.00633,2.46993,2.65012,1.56065,0.009595,0.009595,0.009595
11,82.6117,1.91661,2.09321,1.58306,0.16872,0.01102,0.00979,0.00521,2.55856,2.53686,1.5889,0.00955,0.00955,0.00955
12,89.8088,1.87213,1.99376,1.53329,0.08115,0.00995,0.00803,0.00566,2.72328,3.16347,1.67118,0.009505,0.009505,0.009505
13,97.106,1.93015,2.0233,1.55176,0.12086,0.01253,0.01098,0.00745,2.23348,2.79607,1.41054,0.00946,0.00946,0.00946
14,104.315,1.84892,1.96579,1.51006,0.16159,0.01209,0.01169,0.00755,2.22982,2.49552,1.38666,0.009415,0.009415,0.009415
