epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9522,2.28918,3.62798,2.09672,0.00577,0.00875,0.00148,0.00051,3.71149,inf,82.0439,0.0689667,0.00163333,0.00163333
2,20.5166,2.48096,2.40454,1.86667,0.00053,0.00202,0.00027,9e-05,nan,nan,nan,0.0372852,0.00328515,0.00328515
3,29.1602,2.4941,2.39611,1.83123,0,0,0,0,nan,nan,nan,0.00558863,0.00492197,0.00492197
4,38.1228,2.40616,2.2817,1.76596,0.03922,0.00718,0.00655,0.0044,3.58415,6.01505,3.04544,0.0049325,0.0049325,0.0049325
5,46.938,2.39591,2.25346,1.74424,0.09825,0.01039,0.00831,0.00491,2.76447,6.88567,1.85659,0.00491,0.00491,0.00491
6,55.8884,2.30618,2.14142,1.69306,0.08072,0.01121,0.00927,0.00536,2.58358,4.71001,1.71115,0.0048875,0.0048875,0.0048875
7,64.6949,2.37762,2.20255,1.69705,0.08965,0.01058,0.00833,0.00471,2.74337,2.94832,1.9496,0.004865,0.004865,0.004865
8,73.3678,2.31575,2.11982,1.66654,0.13029,0.0114,0.0096,0.00631,2.74446,2.96401,1.72283,0.0048425,0.0048425,0.0048425
9,82.3102,2.27851,2.06399,1.64055,0.19321,0.01127,0.01088,0.00572,2.88482,3.1996,1.74283,0.00482,0.00482,0.00482
10,91.1362,2.24497,2.03554,1.63397,0.12497,0.00775,0.00677,0.00434,3.18684,2.91118,1.94863,0.0047975,0.0047975,0.0047975
11,99.831,2.26031,1.9914,1.6273,0.11929,0.01203,0.01075,0.0066,2.84716,2.72536,1.67247,0.004775,0.004775,0.004775
12,108.804,2.24649,2.04087,1.61175,0.15839,0.01222,0.01168,0.00582,2.77599,2.51216,1.64813,0.0047525,0.0047525,0.0047525
13,117.408,2.201,1.93845,1.58385,0.25534,0.01152,0.01195,0.00585,2.79544,2.29212,1.63488,0.00473,0.00473,0.00473
14,126.212,2.22405,1.96178,1.59488,0.18791,0.01134,0.01137,0.00575,2.84863,2.3738,1.67563,0.0047075,0.0047075,0.0047075
15,134.983,2.19531,1.93159,1.57634,0.26213,0.01134,0.0135,0.0072,2.75383,2.20944,1.64479,0.004685,0.004685,0.004685
16,143.897,2.14141,1.90524,1.56006,0.31675,0.01146,0.01401,0.00756,2.70747,2.14249,1.57807,0.0046625,0.0046625,0.0046625
17,152.873,2.12738,1.85195,1.53756,0.17861,0.01197,0.01327,0.00785,2.33285,2.179,1.41715,0.00464,0.00464,0.00464
18,161.615,2.07555,1.82442,1.50949,0.20947,0.0121,0.01275,0.00722,2.47484,2.1196,1.45533,0.0046175,0.0046175,0.0046175
19,170.399,2.07543,1.79851,1.50742,0.30714,0.01127,0.01177,0.00756,2.40748,2.15987,1.44615,0.004595,0.004595,0.004595
20,179.323,2.07386,1.76837,1.49057,0.25328,0.01209,0.01452,0.00841,2.58751,2.02859,1.50847,0.0045725,0.0045725,0.0045725
21,188.328,2.01255,1.74916,1.46875,0.28787,0.01215,0.01492,0.00838,2.35766,1.85555,1.45836,0.00455,0.00455,0.00455
22,197.232,2.03227,1.75843,1.49186,0.3126,0.01222,0.01503,0.00934,2.3062,1.84918,1.37684,0.0045275,0.0045275,0.0045275
23,206.002,2.0305,1.71487,1.48175,0.28067,0.01178,0.01457,0.00868,2.46523,2.05176,1.4603,0.004505,0.004505,0.004505
24,214.894,2.0814,1.74114,1.49914,0.23526,0.01253,0.01472,0.00838,2.38479,1.88276,1.43163,0.0044825,0.0044825,0.0044825
25,223.779,2.06668,1.73961,1.51485,0.30552,0.01178,0.01407,0.00868,2.30214,1.77968,1.40423,0.00446,0.00446,0.00446
26,232.619,2.02508,1.70431,1.47277,0.30285,0.01228,0.01453,0.00915,2.26073,1.75052,1.37104,0.0044375,0.0044375,0.0044375
27,241.485,2.0501,1.74046,1.46913,0.38862,0.01184,0.01507,0.00804,2.7548,1.88604,1.58597,0.004415,0.004415,0.004415
28,250.299,1.98665,1.64388,1.45187,0.34338,0.0114,0.0159,0.00867,2.4045,1.92408,1.40883,0.0043925,0.0043925,0.0043925
29,259.162,2.06583,1.72025,1.49207,0.25567,0.01241,0.01506,0.0085,2.22076,1.80877,1.3399,0.00437,0.00437,0.00437
30,267.971,1.97894,1.65279,1.44077,0.50671,0.01134,0.01672,0.00994,2.43329,1.87066,1.36951,0.0043475,0.0043475,0.0043475
