epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5469,1.5633,8.19965,2.43424,0,0,0,0,nan,nan,nan,0.0706,0.00326667,0.00326667
2,19.7488,1.66153,5.58026,2.30285,0,0,0,0,nan,nan,nan,0.0405673,0.00656733,0.00656733
3,29.29,1.62704,5.09991,2.13969,0.02911,0.00252,0.00553,0.00268,3.06844,33.6519,8.07369,0.0105017,0.00983499,0.00983499
4,38.5369,1.59715,4.89952,2.06574,0.04635,0.01115,0.00772,0.00271,2.03377,36.9442,2.1493,0.0098515,0.0098515,0.0098515
5,47.4485,1.58782,4.74031,1.9882,0.07077,0.01045,0.00788,0.0054,1.71307,17.729,1.88892,0.009802,0.009802,0.009802
6,56.5583,1.52593,4.64613,1.94525,0.04562,0.00951,0.00734,0.00367,1.96606,9.53641,2.1967,0.0097525,0.0097525,0.0097525
7,65.5801,1.54294,4.67326,1.9148,0.06298,0.01096,0.00826,0.00553,1.78723,8.01943,1.83261,0.009703,0.009703,0.009703
8,74.5327,1.48629,4.38114,1.83509,0.07991,0.01121,0.0086,0.00526,1.83104,6.29717,1.8515,0.0096535,0.0096535,0.0096535
9,83.4079,1.4711,4.35135,1.87359,0.08306,0.01096,0.00833,0.0045,1.86524,6.08882,1.91242,0.009604,0.009604,0.009604
10,92.4156,1.45405,4.30615,1.84771,0.1306,0.01197,0.01052,0.00568,1.71259,5.47025,1.82606,0.0095545,0.0095545,0.0095545
11,101.69,1.466,4.22173,1.87013,0.13575,0.01241,0.0101,0.00528,1.6829,5.68239,1.79314,0.009505,0.009505,0.009505
12,110.694,1.4671,4.21082,1.83136,0.14229,0.01121,0.00993,0.00513,1.85494,5.84885,1.87548,0.0094555,0.0094555,0.0094555
13,119.605,1.45872,4.15519,1.77784,0.14837,0.01152,0.01158,0.00571,1.82314,5.22281,1.83184,0.009406,0.009406,0.009406
14,128.597,1.42337,4.11973,1.78263,0.15055,0.01184,0.01056,0.0056,1.7369,5.22711,1.74788,0.0093565,0.0093565,0.0093565
15,137.226,1.44406,4.12552,1.78546,0.11823,0.0119,0.01027,0.00585,1.76706,5.86622,1.74285,0.009307,0.009307,0.009307
16,146.147,1.39212,3.97621,1.77424,0.21764,0.01222,0.01331,0.00743,1.65284,4.79582,1.7865,0.0092575,0.0092575,0.0092575
17,155.083,1.39592,3.87989,1.73501,0.18811,0.01152,0.01174,0.00663,1.77207,4.73372,1.73311,0.009208,0.009208,0.009208
18,163.931,1.35958,3.76645,1.72971,0.33419,0.01184,0.01426,0.00747,1.62898,4.07512,1.66758,0.0091585,0.0091585,0.0091585
19,172.782,1.35915,3.75694,1.70686,0.34416,0.01102,0.01253,0.00708,1.73678,4.42052,1.72474,0.009109,0.009109,0.009109
20,181.57,1.33384,3.71795,1.67082,0.22627,0.01121,0.01205,0.00699,1.81333,4.45661,1.84632,0.0090595,0.0090595,0.0090595
