epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0669,2.77406,3.38784,3.39661,0.00173,0.00655,0.00087,0.00034,2.49059,3.68715,3.1802,0.067033,3.3e-05,3.3e-05
2,23.8525,2.77935,3.18816,3.19781,0.00017,6e-05,8e-05,2e-05,2.54583,4.41842,3.25267,0.0337329,6.62685e-05,6.62685e-05
3,35.8255,2.66359,3.0648,3.10192,0.00148,0.00472,0.00081,0.00033,2.50639,3.5826,3.08873,0.000432611,9.92776e-05,9.92776e-05
4,47.2752,2.62834,3.02627,3.05532,0.00226,0.00271,0.0012,0.00038,2.40289,3.27577,2.99051,9.91232e-05,9.91232e-05,9.91232e-05
5,60.2104,2.62048,3.03755,3.03708,0.0026,0.00296,0.00133,0.0004,2.35295,3.34873,2.95211,9.84449e-05,9.84449e-05,9.84449e-05
6,73.8777,2.5714,2.9916,2.99748,0.00123,0.00435,0.00086,0.00029,2.35117,3.10369,2.96563,9.75773e-05,9.75773e-05,9.75773e-05
7,85.3617,2.55385,2.94409,2.9493,0.00279,0.00491,0.00145,0.00052,2.38097,3.10733,2.97385,9.65239e-05,9.65239e-05,9.65239e-05
8,97.0992,2.50073,2.85747,2.8925,0.00376,0.00359,0.0019,0.00071,2.41673,3.244,2.9533,9.52889e-05,9.52889e-05,9.52889e-05
9,109.551,2.53022,2.82993,2.89486,0.00102,0.00384,0.00053,0.0002,2.2853,3.27507,2.87438,9.38772e-05,9.38772e-05,9.38772e-05
10,120.961,2.50731,2.76165,2.85245,0.00149,0.00447,0.00077,0.0003,2.29102,2.91861,2.94096,9.22942e-05,9.22942e-05,9.22942e-05
11,132.274,2.48632,2.70242,2.81959,0.00256,0.00403,0.00134,0.00047,2.32595,2.69663,2.89056,9.05463e-05,9.05463e-05,9.05463e-05
12,144.15,2.46669,2.67209,2.80502,0.00193,0.00491,0.00102,0.00037,2.19154,2.87816,2.79926,8.86404e-05,8.86404e-05,8.86404e-05
13,156.081,2.46226,2.64267,2.81556,0.00148,0.00472,0.00076,0.00029,2.29148,2.81994,2.85163,8.65839e-05,8.65839e-05,8.65839e-05
14,167.582,2.44633,2.65643,2.80458,0.00299,0.00441,0.00155,0.00052,2.2258,2.65418,2.77107,8.43851e-05,8.43851e-05,8.43851e-05
15,178.896,2.38929,2.64151,2.76091,0.0044,0.00283,0.00222,0.00076,2.27358,2.8298,2.80768,8.20525e-05,8.20525e-05,8.20525e-05
16,192.143,2.40085,2.5753,2.76541,0.00157,0.00441,0.00081,0.00029,2.2012,2.6547,2.73694,7.95954e-05,7.95954e-05,7.95954e-05
