epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3871,2.76025,3.42513,3.33091,0,0,0,0,2.53408,4.52088,3.40289,0.090199,9.9e-05,9.9e-05
2,59.1995,2.45401,3.21037,3.0169,0,0,0,0,2.45115,4.57722,3.39485,0.080299,0.000198951,0.000198951
3,88.7919,2.42184,3.16758,2.95913,5e-05,0.00019,3e-05,1e-05,2.27943,3.88787,3.39746,0.0703987,0.000298708,0.000298708
4,118.147,2.35169,3.12757,2.89492,0,0,0,0,2.37924,4.48248,3.20782,0.0604981,0.000398123,0.000398123
5,146.81,2.29284,3.10602,2.8167,3e-05,6e-05,1e-05,0,2.18131,3.65444,2.9498,0.0505971,0.000497052,0.000497052
6,175.915,2.23658,2.99199,2.77481,5e-05,0.00013,3e-05,1e-05,2.31254,4.72394,3.1438,0.0406953,0.00059535,0.00059535
7,204.865,2.27057,2.89935,2.76325,3e-05,6e-05,2e-05,1e-05,2.32469,5.77994,3.18289,0.0307929,0.000692871,0.000692871
8,233.888,2.1763,2.81526,2.67914,8e-05,0.00013,4e-05,1e-05,2.18377,3.28883,2.95643,0.0208895,0.000789475,0.000789475
9,263.224,2.18527,2.78864,2.69807,6e-05,0.00019,3e-05,1e-05,2.19888,4.25998,2.9074,0.010985,0.000885019,0.000885019
10,291.725,2.13734,2.74298,2.62864,0,0,0,0,2.46319,5.77904,3.40381,0.00107937,0.000979365,0.000979365
11,320.335,2.13744,2.70604,2.64286,0.00095,0.00013,5e-05,2e-05,1.99674,2.93818,2.80864,0.000975773,0.000975773,0.000975773
12,349.598,2.12348,2.66163,2.56281,0.00028,6e-05,5e-05,1e-05,1.85895,2.51379,2.54041,0.000970736,0.000970736,0.000970736
13,378.741,2.08481,2.67644,2.57454,0.00021,0.00013,4e-05,1e-05,2.05933,3.55657,2.74964,0.000965239,0.000965239,0.000965239
14,407.088,2.04711,2.61273,2.51231,4e-05,0.00013,2e-05,0,2.02598,3.60217,2.71941,0.000959289,0.000959289,0.000959289
15,435.581,2.0258,2.58674,2.50952,0.00016,6e-05,3e-05,1e-05,1.78934,3.52748,2.47243,0.000952889,0.000952889,0.000952889
16,464.03,1.99746,2.61883,2.43132,0.00054,0.00013,6e-05,1e-05,1.97358,3.80067,2.68271,0.000946048,0.000946048,0.000946048
17,492.681,1.97847,2.5536,2.44263,0.00014,0.00019,0.00011,1e-05,1.89937,2.64346,2.60259,0.000938772,0.000938772,0.000938772
18,521.269,1.96437,2.49091,2.43444,0.00034,0.00019,0.00018,6e-05,1.89333,2.57394,2.53352,0.000931067,0.000931067,0.000931067
19,550.16,1.9598,2.54593,2.45122,2e-05,6e-05,1e-05,0,1.91796,2.66544,2.52464,0.000922942,0.000922942,0.000922942
20,579.047,1.91549,2.47123,2.40085,0.00013,0.00013,3e-05,1e-05,1.98196,6.48588,2.67339,0.000914405,0.000914405,0.000914405
21,607.61,1.92024,2.46153,2.39827,0.00024,0.00013,6e-05,1e-05,1.85482,2.55378,2.51869,0.000905463,0.000905463,0.000905463
22,636.411,1.91665,2.44039,2.39695,0.00037,0.00019,0.00021,3e-05,2.122,2.62287,2.8566,0.000896127,0.000896127,0.000896127
23,664.721,1.90476,2.43653,2.37192,0.00111,6e-05,4e-05,1e-05,1.78029,2.51803,2.4173,0.000886404,0.000886404,0.000886404
24,693.334,1.88684,2.39074,2.37351,0,0,0,0,2.29101,4.48405,3.04877,0.000876305,0.000876305,0.000876305
25,721.833,1.89098,2.41495,2.37815,0,0,0,0,1.92419,3.179,2.51287,0.000865839,0.000865839,0.000865839
26,750.35,1.89444,2.40355,2.34887,5e-05,0.00019,3e-05,0,2.00574,5.10417,2.69996,0.000855018,0.000855018,0.000855018
27,778.756,1.8481,2.41043,2.32464,0,0,0,0,2.0991,2.80246,2.84335,0.000843851,0.000843851,0.000843851
28,807.088,1.87218,2.46429,2.34008,0.00023,0.00019,0.00016,3e-05,1.94876,2.79357,2.63705,0.000832349,0.000832349,0.000832349
29,835.318,1.81337,2.37375,2.29207,0,0,0,0,1.84175,3.10787,2.47294,0.000820525,0.000820525,0.000820525
30,863.954,1.8483,2.37852,2.31032,0.0003,0.00013,0.00017,2e-05,1.92832,2.44773,2.49704,0.000808389,0.000808389,0.000808389
31,892.576,1.83432,2.34808,2.30648,6e-05,0.00019,3e-05,1e-05,2.12124,2.83152,2.50224,0.000795954,0.000795954,0.000795954
32,921.364,1.89345,2.38565,2.2498,0.00015,0.00019,8e-05,4e-05,2.03384,2.11229,2.25699,0.000783231,0.000783231,0.000783231
33,949.985,2.15483,2.49531,2.17893,0,0,0,0,2.98492,3.58783,2.09501,0.000770234,0.000770234,0.000770234
34,978.985,2.60991,2.76731,2.03356,2e-05,6e-05,1e-05,0,3.84244,3.67868,1.97367,0.000756976,0.000756976,0.000756976
35,1007.87,2.76799,2.8784,1.90872,7e-05,0.00025,4e-05,1e-05,3.35242,3.08064,1.62411,0.000743468,0.000743468,0.000743468
36,1036.62,2.87136,2.97272,1.86387,3e-05,0.00013,2e-05,0,3.42158,3.0724,1.69933,0.000729725,0.000729725,0.000729725
37,1065.54,2.92986,3.01959,1.83646,5e-05,0.00019,3e-05,1e-05,3.33152,3.11576,1.69043,0.000715761,0.000715761,0.000715761
38,1094.17,2.99567,3.05665,1.78821,0,0,0,0,3.37418,3.46548,1.77762,0.000701588,0.000701588,0.000701588
39,1122.96,2.97201,3.0442,1.78487,0.0001,0.00038,6e-05,1e-05,3.48256,3.24376,1.5532,0.000687222,0.000687222,0.000687222
40,1151.62,3.00152,3.06138,1.78133,7e-05,0.00025,4e-05,1e-05,3.6077,3.15361,1.64212,0.000672675,0.000672675,0.000672675
41,1180.6,2.98624,3.04361,1.75389,3e-05,0.00013,2e-05,0,3.4006,3.10403,1.54892,0.000657963,0.000657963,0.000657963
42,1209.67,2.96498,3.02567,1.75138,5e-05,0.00019,3e-05,1e-05,3.63885,3.172,1.66654,0.000643101,0.000643101,0.000643101
