epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61424,0,0,111.302,0,0,0,0,0,0,0,0,0,0,0,80.0684,0,0.000653333,0.000653333,0.000653333
2,11.2698,0,0,72.9644,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.00131347,0.00131347,0.00131347
3,16.2355,0,0,51.707,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.001967,0.001967,0.001967
4,20.7619,0,0,33.1127,0,0,0,0,0,0,0,0,0,0,0,5.72998,0,0.0019703,0.0019703,0.0019703
5,25.3439,0,0,19.3641,0,0,0,0,0,0,0,0,0,0,0,4.97461,0,0.0019604,0.0019604,0.0019604
6,29.8853,0,0,10.6881,0,0,0,0,0,0,0,0,0,0,0,0.37451,0,0.0019505,0.0019505,0.0019505
7,34.0869,0,0,5.36852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019406,0.0019406,0.0019406
8,38.3178,0,0,2.44202,0,0,0,0,0,0,0,0,0,0,0,0.08643,0,0.0019307,0.0019307,0.0019307
9,42.5617,0,0,1.01856,0,0,0,0,0,0,0,0,0,0,0,72.2139,0,0.0019208,0.0019208,0.0019208
10,46.9651,0,0,0.39986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019109,0.0019109,0.0019109
11,51.144,0,0,0.14975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
12,55.4397,0,0,0.0415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018911,0.0018911,0.0018911
13,59.9393,0,0,0.01583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
14,64.1885,0,0,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018713,0.0018713,0.0018713
15,68.5428,0,0,0.00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
16,72.7416,0,0,0.00286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018515,0.0018515,0.0018515
17,76.9296,0,0,0.00178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
18,81.0938,0,0,0.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018317,0.0018317,0.0018317
19,85.273,0,0,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
20,89.4954,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018119,0.0018119,0.0018119
21,94.5079,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,84.625,0,0.001802,0.001802,0.001802
22,99.2602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1875,0,0.0017921,0.0017921,0.0017921
23,103.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195,0,0.0017822,0.0017822,0.0017822
24,107.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017723,0.0017723,0.0017723
