epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1058,0.98613,2.0735,2.34515,1.30304,0,0,0,0,0,0,0,0,1.08351,2.53097,2.95368,1.4592,0.000653333,0.000653333,0.000653333
2,19.0594,1.06123,1.81173,1.81786,1.3159,0.96875,0.29245,0.63149,0.42623,0.90625,0.27358,0.58882,0.345,1.54628,5.54693,2.96965,2.28978,0.00131347,0.00131347,0.00131347
3,25.6771,1.14347,1.88257,1.72843,1.37728,0.25,0.0283,0.13162,0.06898,0.25,0.0283,0.13162,0.07328,2.00531,6.92238,3.90305,2.68049,0.001967,0.001967,0.001967
4,32.3896,1.13394,1.87351,1.56683,1.36392,0.48333,0.54717,0.47747,0.2972,0.49167,0.5566,0.4845,0.29736,1.57584,3.60109,2.53005,2.08918,0.0019703,0.0019703,0.0019703
5,38.7988,1.09881,1.77566,1.42312,1.33853,0.65839,0.58491,0.62493,0.4317,0.64844,0.5566,0.61369,0.42886,1.30445,3.07105,2.4492,1.7268,0.0019604,0.0019604,0.0019604
6,45.2978,1.06645,1.76495,1.28629,1.3301,0.87091,0.59434,0.7393,0.51807,0.88629,0.60377,0.75404,0.55736,1.20398,2.06311,1.35403,1.65453,0.0019505,0.0019505,0.0019505
7,51.9213,1.03226,1.64107,1.26166,1.30285,0.83432,0.65094,0.78084,0.53105,0.82222,0.69811,0.80073,0.58229,1.21286,2.17556,1.36286,1.52457,0.0019406,0.0019406,0.0019406
8,59.4871,1.11013,1.70279,1.25026,1.36334,0.69565,0.60377,0.68585,0.4674,0.69565,0.60377,0.68345,0.42993,1.26121,2.84856,1.54741,1.64552,0.0019307,0.0019307,0.0019307
9,65.8527,1.02813,1.62294,1.14819,1.29094,0.74034,0.67248,0.73366,0.52401,0.73694,0.66038,0.72767,0.52164,1.38378,2.36975,1.47127,1.87345,0.0019208,0.0019208,0.0019208
10,72.28,1.03504,1.6045,1.14196,1.30356,0.80786,0.72642,0.83877,0.56205,0.81835,0.73585,0.84163,0.60396,1.17023,2.00071,1.2257,1.52936,0.0019109,0.0019109,0.0019109
