epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58617,0,0,111.302,0,0,0,0,0,0,0,0,0,0,0,80.0684,0,0.000653333,0.000653333,0.000653333
2,11.3216,0,0,72.9644,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.00131347,0.00131347,0.00131347
3,15.7231,0,0,51.707,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.001967,0.001967,0.001967
4,20.2994,0,0,33.1127,0,0,0,0,0,0,0,0,0,0,0,5.72998,0,0.0019703,0.0019703,0.0019703
5,24.7829,0,0,19.3641,0,0,0,0,0,0,0,0,0,0,0,4.97461,0,0.0019604,0.0019604,0.0019604
6,29.7088,0,0,10.6881,0,0,0,0,0,0,0,0,0,0,0,0.37451,0,0.0019505,0.0019505,0.0019505
7,33.5216,0,0,5.36852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019406,0.0019406,0.0019406
8,38.2187,0,0,2.44202,0,0,0,0,0,0,0,0,0,0,0,0.08643,0,0.0019307,0.0019307,0.0019307
9,42.141,0,0,1.01856,0,0,0,0,0,0,0,0,0,0,0,72.2139,0,0.0019208,0.0019208,0.0019208
10,46.7616,0,0,0.39986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019109,0.0019109,0.0019109
11,52.1288,0,0,0.14975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
12,56.5224,0,0,0.0415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018911,0.0018911,0.0018911
13,60.8534,0,0,0.01583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
14,65.1784,0,0,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018713,0.0018713,0.0018713
