epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.397,1.07055,1.75402,2.05023,1.09055,0.9533,0.8567,0.92014,0.74161,0.95444,0.85773,0.92078,0.70879,0.94969,1.42054,0.96963,0.99844,0.00332993,0.00332993,0.00332993
2,273.464,1.01195,1.46619,1.05606,1.03623,0.95283,0.87359,0.92992,0.73833,0.95311,0.87385,0.93046,0.71616,0.96064,1.42443,0.77794,1.01089,0.00653133,0.00653133,0.00653133
3,403.434,1.05614,1.51325,0.92906,1.06167,0.96278,0.84724,0.91801,0.715,0.96162,0.84621,0.91731,0.69384,1.02966,1.66796,0.77153,1.0714,0.00960073,0.00960073,0.00960073
4,532.416,1.0699,1.51404,0.86975,1.07126,0.97365,0.88869,0.93943,0.75029,0.97309,0.88818,0.93936,0.73414,0.95983,1.35363,0.6338,1.04617,0.009406,0.009406,0.009406
5,661.479,1.01484,1.43007,0.7626,1.05215,0.97474,0.91837,0.95664,0.78204,0.97664,0.92016,0.95786,0.76324,0.90464,1.28664,0.55391,1.00506,0.009208,0.009208,0.009208
6,789.844,0.98525,1.37282,0.70164,1.03907,0.98829,0.92861,0.96296,0.78719,0.98775,0.9281,0.9627,0.76496,0.88525,1.24584,0.50838,0.99565,0.00901,0.00901,0.00901
7,918.051,0.94977,1.32272,0.64639,1.02387,0.97114,0.95573,0.97529,0.79457,0.9701,0.95471,0.97467,0.77595,0.87447,1.21414,0.47228,0.99532,0.008812,0.008812,0.008812
8,1047.62,0.92633,1.28471,0.61326,1.01402,0.99241,0.93628,0.96708,0.80112,0.99186,0.93577,0.96675,0.77865,0.84999,1.18061,0.45067,0.98489,0.008614,0.008614,0.008614
9,1168.43,0.91553,1.26885,0.59301,1.00994,0.98664,0.96392,0.9808,0.8217,0.9869,0.96418,0.98093,0.80248,0.82379,1.15404,0.42145,0.96763,0.008416,0.008416,0.008416
10,1296.98,0.89048,1.23146,0.56643,0.99802,0.98742,0.96418,0.9807,0.82418,0.9869,0.96366,0.98047,0.80172,0.80753,1.12753,0.41032,0.96565,0.008218,0.008218,0.008218
11,1425.1,0.88129,1.21641,0.54943,0.99634,0.98977,0.96546,0.98127,0.82764,0.98977,0.96546,0.98126,0.80721,0.79755,1.10805,0.38952,0.95494,0.00802,0.00802,0.00802
12,1553.12,0.8638,1.19414,0.53144,0.98939,0.98983,0.97083,0.98436,0.82833,0.98852,0.96955,0.98372,0.80512,0.79243,1.09613,0.38993,0.95458,0.007822,0.007822,0.007822
13,1679.1,0.8563,1.18632,0.52061,0.98441,0.99367,0.96418,0.98146,0.83666,0.99341,0.96392,0.98131,0.81545,0.77876,1.09086,0.37066,0.94747,0.007624,0.007624,0.007624
14,1808.16,0.84277,1.16644,0.50919,0.97949,0.99319,0.97006,0.98447,0.84087,0.99319,0.97006,0.98444,0.81702,0.7599,1.06465,0.36619,0.94554,0.007426,0.007426,0.007426
15,1934.21,0.83478,1.15114,0.49587,0.97467,0.99478,0.97595,0.98726,0.84443,0.99426,0.97544,0.98699,0.8186,0.75502,1.0542,0.35695,0.93369,0.007228,0.007228,0.007228
16,2063.91,0.83392,1.14269,0.49198,0.9762,0.99661,0.97799,0.98854,0.84818,0.99635,0.97774,0.98835,0.82542,0.74603,1.038,0.34528,0.93155,0.00703,0.00703,0.00703
17,2192.43,0.82277,1.13686,0.48064,0.97038,0.994,0.97441,0.9865,0.84948,0.99374,0.97416,0.98638,0.82416,0.73928,1.03687,0.34521,0.93536,0.006832,0.006832,0.006832
18,2321.85,0.81381,1.12802,0.47156,0.96847,0.99582,0.97467,0.98666,0.85101,0.99608,0.97492,0.9868,0.82633,0.73852,1.03673,0.34355,0.93056,0.006634,0.006634,0.006634
19,2450.74,0.81501,1.11853,0.46761,0.96825,0.99302,0.98286,0.99054,0.85519,0.99121,0.98106,0.98985,0.82802,0.72887,1.0237,0.33766,0.92699,0.006436,0.006436,0.006436
20,2580.51,0.80265,1.10581,0.45657,0.96279,0.9961,0.98106,0.99012,0.85599,0.99636,0.98132,0.99019,0.83197,0.72516,1.0274,0.32277,0.92773,0.006238,0.006238,0.006238
21,2707.64,0.78974,1.08688,0.44249,0.95926,0.99585,0.98158,0.99034,0.86045,0.99559,0.98132,0.99026,0.82992,0.71639,1.01248,0.31885,0.92536,0.00604,0.00604,0.00604
22,2835.98,0.79276,1.08515,0.44249,0.96172,0.99715,0.98516,0.99165,0.86188,0.99637,0.98439,0.9913,0.83399,0.71171,1.00817,0.31327,0.92391,0.005842,0.005842,0.005842
23,2963.54,0.77956,1.07349,0.43636,0.95631,0.99612,0.98439,0.99129,0.86366,0.99586,0.98414,0.99118,0.83624,0.70823,0.99912,0.31052,0.92278,0.005644,0.005644,0.005644
24,3092.59,0.774,1.06548,0.42863,0.953,0.99535,0.9849,0.99134,0.86472,0.99509,0.98465,0.99137,0.8371,0.70332,0.9912,0.30619,0.92124,0.005446,0.005446,0.005446
25,3221.4,0.77197,1.06092,0.42908,0.95349,0.99509,0.98516,0.99157,0.86816,0.99406,0.98414,0.99111,0.84028,0.69654,0.97943,0.30228,0.91433,0.005248,0.005248,0.005248
26,3351.19,0.77202,1.06525,0.4188,0.94924,0.99637,0.98414,0.99125,0.86933,0.9956,0.98337,0.99093,0.84178,0.69214,0.98315,0.30158,0.91519,0.00505,0.00505,0.00505
27,3481.49,0.76116,1.05083,0.41567,0.94674,0.99561,0.98644,0.99223,0.86847,0.99483,0.98567,0.99179,0.84127,0.68741,0.97758,0.29441,0.91344,0.004852,0.004852,0.004852
28,3608.74,0.75763,1.03395,0.4097,0.94353,0.99742,0.98772,0.99309,0.8719,0.9969,0.98721,0.99275,0.84288,0.68178,0.96706,0.29065,0.90896,0.004654,0.004654,0.004654
29,3737.9,0.75116,1.03304,0.40442,0.94403,0.99742,0.98772,0.99303,0.87272,0.99664,0.98695,0.99255,0.84638,0.68044,0.97031,0.28689,0.91049,0.004456,0.004456,0.004456
30,3869.17,0.75193,1.04039,0.40254,0.94119,0.99741,0.98644,0.99231,0.87566,0.99664,0.98567,0.9919,0.84596,0.67103,0.96359,0.28192,0.9047,0.004258,0.004258,0.004258
31,3999.3,0.74383,1.02289,0.39627,0.93979,0.99845,0.98721,0.99279,0.8767,0.99793,0.98669,0.99247,0.84839,0.66695,0.95421,0.27993,0.90337,0.00406,0.00406,0.00406
32,4131.9,0.73776,1.02189,0.39229,0.93754,0.99767,0.98772,0.9931,0.87873,0.99716,0.98721,0.99277,0.85085,0.66318,0.94963,0.27736,0.90349,0.003862,0.003862,0.003862
33,4261.8,0.7353,1.01367,0.38659,0.93888,0.99664,0.98746,0.99291,0.87881,0.99638,0.98721,0.99271,0.85006,0.66095,0.95382,0.27361,0.90163,0.003664,0.003664,0.003664
34,4391.81,0.72548,1.00162,0.38334,0.93412,0.99819,0.99028,0.99497,0.88023,0.99742,0.98951,0.99448,0.8509,0.66097,0.94756,0.27196,0.90243,0.003466,0.003466,0.003466
35,4522.09,0.72767,1.01241,0.38076,0.93804,0.99768,0.989,0.99405,0.87996,0.9969,0.98823,0.99346,0.85083,0.65924,0.94234,0.27132,0.90215,0.003268,0.003268,0.003268
36,4653.26,0.72014,0.99387,0.37433,0.93177,0.99794,0.99079,0.99495,0.8811,0.99716,0.99002,0.99493,0.85339,0.65392,0.93592,0.26773,0.89878,0.00307,0.00307,0.00307
37,4786.51,0.71149,0.98263,0.3696,0.93204,0.99871,0.98951,0.99452,0.88125,0.99871,0.98951,0.99451,0.85351,0.6519,0.93562,0.2646,0.89844,0.002872,0.002872,0.002872
38,4917.46,0.71044,0.98363,0.36403,0.92827,0.99794,0.99181,0.99498,0.88381,0.99743,0.9913,0.99493,0.85482,0.65091,0.93256,0.26373,0.89784,0.002674,0.002674,0.002674
39,5048.51,0.70413,0.9748,0.35718,0.9252,0.99768,0.99181,0.99498,0.8854,0.99691,0.99104,0.99494,0.85527,0.64895,0.93011,0.26153,0.89727,0.002476,0.002476,0.002476
40,5181.05,0.69955,0.96954,0.35505,0.92595,0.99871,0.99028,0.99499,0.88437,0.99794,0.98951,0.99448,0.85625,0.64764,0.92761,0.25851,0.89687,0.002278,0.002278,0.002278
41,5317.17,0.66447,0.93287,0.30424,0.90838,0.99871,0.99284,0.99499,0.88472,0.99768,0.99181,0.99496,0.85731,0.64583,0.92647,0.26029,0.8979,0.00208,0.00208,0.00208
42,5449.1,0.65205,0.91083,0.2952,0.89997,0.99717,0.99181,0.99495,0.88587,0.99691,0.99156,0.99494,0.85829,0.64141,0.92059,0.25828,0.89528,0.001882,0.001882,0.001882
43,5578.24,0.64581,0.90517,0.28917,0.8988,0.99717,0.99181,0.99495,0.88646,0.99666,0.9913,0.99493,0.85772,0.63796,0.91734,0.2569,0.89405,0.001684,0.001684,0.001684
44,5705.61,0.63986,0.89462,0.28333,0.89688,0.99717,0.99207,0.99496,0.88723,0.99666,0.99156,0.99493,0.8594,0.63519,0.91558,0.2545,0.8931,0.001486,0.001486,0.001486
45,5835.97,0.63212,0.8884,0.2806,0.89512,0.99769,0.99258,0.99498,0.88836,0.99666,0.99156,0.99495,0.86003,0.63196,0.91341,0.25416,0.89186,0.001288,0.001288,0.001288
46,5966.39,0.62359,0.88155,0.27402,0.8892,0.99846,0.99309,0.99498,0.88907,0.99743,0.99207,0.99495,0.86073,0.62893,0.91145,0.25227,0.89026,0.00109,0.00109,0.00109
47,6096.7,0.61686,0.86594,0.27087,0.88578,0.99846,0.99335,0.99499,0.88972,0.99691,0.99181,0.99494,0.86105,0.62585,0.90873,0.25102,0.88948,0.000892,0.000892,0.000892
48,6228.39,0.61089,0.86653,0.26617,0.88317,0.99871,0.99284,0.99499,0.89056,0.99743,0.99156,0.99495,0.86224,0.62437,0.90687,0.25065,0.8886,0.000694,0.000694,0.000694
49,6359.28,0.60566,0.86654,0.26131,0.88387,0.9982,0.99258,0.99498,0.89043,0.99768,0.99207,0.99496,0.86206,0.62382,0.90504,0.24875,0.88862,0.000496,0.000496,0.000496
50,6490.48,0.59817,0.85739,0.25521,0.88106,0.99871,0.99309,0.99499,0.89039,0.99768,0.99207,0.99495,0.86242,0.62303,0.90428,0.24796,0.8882,0.000298,0.000298,0.000298
